dataset,seq_len,pred_len,model,norm,alpha,seed,MSE,MAE,RMSE,MAPE,MSPE,dish_init,scaled,prior,features,timestamp
ETTh1,168,168,Autoformer,dishts,0.25,2024,16.32948,2.22525,4.04097,892120.0,501803200000000.0,avg,False,paper-phi-only,M,20260616_142313
ETTh1,168,168,Autoformer,dishts,0.25,2025,15.0046,2.17547,3.87358,896544.44,474936800000000.0,avg,False,paper-phi-only,M,20260616_142556
ETTh1,168,168,Autoformer,dishts,0.5,2023,13.28728,2.07629,3.64517,905157.56,466854700000000.0,avg,False,paper-phi-only,M,20260616_142945
ETTh1,168,168,Autoformer,dishts,0.5,2024,12.83842,2.07246,3.58307,770950.1,380882300000000.0,avg,False,paper-phi-only,M,20260616_143207
ETTh1,168,168,Autoformer,dishts,0.5,2025,15.12841,2.1756,3.88953,879034.4,455425100000000.0,avg,False,paper-phi-only,M,20260616_143344
ETTh1,168,168,Autoformer,dishts,0.75,2023,15.85838,2.26447,3.98226,933555.6,474949560000000.0,avg,False,paper-phi-only,M,20260616_143711
ETTh1,168,168,Autoformer,dishts,0.75,2024,14.02487,2.10275,3.74498,864281.06,495363340000000.0,avg,False,paper-phi-only,M,20260616_143848
ETTh1,168,168,Autoformer,dishts,0.75,2025,14.778,2.22567,3.84422,919355.25,493173600000000.0,avg,False,paper-phi-only,M,20260616_144025
ETTh1,168,168,Autoformer,dishts,1.0,2023,14.24046,2.19384,3.77365,936814.56,474342260000000.0,avg,False,paper-phi-only,M,20260616_144246
ETTh1,168,168,Autoformer,dishts,1.0,2024,15.85506,2.22088,3.98184,888252.3,508866850000000.0,avg,False,paper-phi-only,M,20260616_144424
ETTh1,168,168,Autoformer,dishts,1.0,2025,17.86329,2.38594,4.2265,915931.44,499109220000000.0,avg,False,paper-phi-only,M,20260616_144729
ETTh1,336,336,Autoformer,dishts,0.0,2023,19.49109,2.55186,4.41487,990776.4,554738350000000.0,avg,False,paper-phi-only,M,20260616_145227
ETTh1,336,336,Autoformer,dishts,0.0,2024,13.02255,2.15619,3.60868,922082.44,474284040000000.0,avg,False,paper-phi-only,M,20260616_145603
